text,label
붙이고 나서 샤워후 한쪽이 바로 떨어졌네요...,0
가격 저렴한만큼 그만큼하는 상품이네요~그래도 한동안 머리끈걱정은 없겠어요,0
쓸만하네요 잘쓸게요~,1
신선하고 껍질 깨진것도 많이 없는데 양이 적은거 같아요,1
한달에 생수 사먹으면 돈이 너무들어 브리타 애용하고있습니다.이번에 살때 저렴하게 잘샀고 저는 다 괜찮은거같아서 잘쓰고있습니다.,1
재구매의사 100프로입니다 ㅎ,1
너무 예뻐요~^^ 불빛도 되게 환해요ㅎㅎ,1
상품좋아요 쓰기편해요 추천,0
늘 거의 매달 구매하는 제품인듯 해요. 다른 마스크팩은 피부가 민감해서..이걸 쓰면 얼굴에 난게 확 가라앉지는 않지만 진정되는건 확실히 느껴져서 정말 심한 날에 쓰고 있습니다.,1
부모님이 약간싱겁다하시네요,0
풀스톤할땨 쓰려구 구매했어용,1
상판이 최악..책상으로 쓰려고 삿는데 허술해서 원..,0
귀엽고 따뜻해보여서 정말 좋네요!!,1
재구매 여기서 쭉 먹이는데 매달 조금씩 가격이 오르네요 . 딴데를 찾아보던지해야겠어요. 기분이 별로~,0
애기 차량 커튼이 필요했는데 자석이라 붙이기도쉽고 암막기능 잘됩니다,1
고기가 질이 별로였어요. 맛은 그저 그랬네요,0
스몰사이지는 후기처럼 작았지만 넘이뻐요,1
잘 받았습니다. 만족스럽습니다.,1
"알라딘 매직행거 130개,바지걸이 주문했는데 그중 옷걸자마자 고리부분이 빠져버리는 불량 6개! 견고,튼튼한거 찾으시는분은 참고하세요",0
몇개 안올렸는데 우당탕 떨어졌어요... 생각보다 튼튼하진 않네요,0
그냥 그래요 별로에요,0
설치하기 편합니다~~~,1
정품 맞나요? 이어폰쓰고 전화하는데 상대방에게 지지직거리는 소리가 자꾸 들린다네요 정말 돈 아깝습니다,0
음 색은 이쁜데 생각보다 튼튼하진 않아요,0
그냥 그렇네요.샀으니까 씁니다.,0
슬림하게 깔끔한 디자인으로 맘에 쏙 들어요,1
배선 깔기가 힘들었지 잘되니 좋아요!,1
배송도 빠르고 피아노가 너무 좋아용,1
1주일 넘게 걸리는 배송입니다;;; 미국에서 주문한것 보다 늦게 그것도 엄청 늦게 배송사고난줄알았어요,0
배송비제대로 기입해주세여,0
매일매일 꾸준히 돌리고있는중인데 뱃살이조금씩빠지네요!옆구리도 탄탄하니 근육이 생겨서 대만족입니다 훌라후프최고예요!,1
저에게는 넘 커요 그리고 검은색이라 한번 빨았는데 먼지가 붙네요 그럭저럭 집에서 or 이너로 입어야 할 듯 ( 저는 44-55에요 free 사이즈 구매한 재 잘못이겠죠),0
한달만에 세탁하니 보풀 일어나고 아주 난리네요,0
장시간 펼치고 접을때 접히는부분이 탄성이 죽어서인지 제대로 안접히고 구겨지네요ㅠㅠ,0
편하고 부두럽고 좋아요,1
예쁜데 4살 꼬맹이가 한번하고 안하네요,0
길이도 길고 아주 만족스러워요,1
모기를 잡긴 잡기나 하나요?택배 받은 날부터 5일 사용 했지만 모기는 커녕 하루살이 한마리도 못 잡는데 어떻게 잡는다는 건지 tv광고는 장난 아니던데 다 거짓인가요?광고 보고 샀더니 대 실망이네요.,0
두번다시구매안할품질임.,0
사이즈가 크고 생각보다 편하지 않네요 오늘 츄리닝 입고 입었는데도 말려올라가서 계속불편하고 한번 세탁했는데 더 커진거같아요ㅡㅡ할머니 속옷같은 ᆢ이걸 어찌해야ㅜㅜ,0
알콜 냄새가 납니다... 매장에서 산거랑 향이 틀려요...ㅠㅠ 첫향이 알콜냄새가 납니다..ㅠㅠ,0
재구매 카멜브라운 너무 좋아요. 느낌도 좋지만 색감때문에 더 좋네요.,1
배송도 빠르고 좋네요~ 프리미엄쓰고나서는 다른건 못쓰겠어요,1
제가 던져본 싱커중에 가장 좋았어요.,1
항상 구매하는곳이에요~,1
다른 옷걸이랑 같이주문했는데 두께가 아주 미세하게 차이나는데 가격은 두배네요 사이즈를 잘보고 시켜야할것같아요,0
회사에서 망가져 새로 주문했는데 잘쓰겠습니다.,1
첫 세탁시 올이 너무 풀려서 ㅠㅠㅠ 그거말곤 괜찮았는데.. 아이가 물고 빨고 하는거라 올리 풀리니 안좋긴하네요 ㅠ,0
고맙습니다.잘쓰께요...,1
싸기는 한데 꼭지도 안떼어져 있고 알도 작고 마른것두 많네요 그리구 잎사귀는 골라서 냉동 했으면 좋았을듯 하네요 시킨거니깐 먹을때마다 꼭지 다 떼고 골라서 먹는데 다신 안시킬거예요,0
잘 쓰겠습니다. 배송이 빠르면 좋겠습니다.,0
재구매 개봉전이에요 택배는잘받았어요,1
잘전달되었어요감사합니다,1
편하고 좋아요 배송도 빠르구뇨,1
재구매 두번째재구매입니다. 가족들이다잘먹어요.,1
매번 먹어도 질리지도 너무 달지도 않아좋습니다,1
유리라고 해서 구매했어요... 근데 잔 기스가 있네요... 보고 살짝 실망했네요.. 3개중 2개나.. 반품하기 귀찮아서 그냥 사용합니다.. 잘 보고 보내셔야 할듯 싶어요...,0
배송 너무 늦네요...,0
홈웨어로 샀는데 편하게 입을것같아요,1
어쩜 이리 예쁘죠 향도 너무.은은하고 좋아요 두개샀는데 맘에 듭니다 분위기 업이에요 리필은.어떻게 구매하면 될까요 향이 둘다 맘에 들어서 담에 리필 구매하고 싶어요 ㅎㅎ,1
좋아요 양많아서 붙히기편해쇼,1
진짜좋아요 배송도 엄청빠르고,1
저렴한가격이라 구매했어요 기스도많고 그런데 잘쓸께요,0
맛있게 먹었습니다. 그런데 2마리는 몸통 살이 텅텅 비었네요 . 톱밥포장하면 다리 떨어진다고 해서 얼음 포장 시켰는데 다리가 많이 떨어져서 찌니깐 게 내장도 많이 빠지네요.,0
배송도 빠르고 제품도 하자 없이 왔어요 다른 곳보다 저렴하게 고퀄리티 제품을 받아볼 수 있었네요.,1
배송도 느리고 락스냄새가 너무심해요 머리아플정도 ㅜㅜ 효과도 미비하구요,0
가성비 괜찮고 이뿌네요,1
좋아요 그냥좋앙요 너무좋아요,1
배송 짱 느려요 주문하고 3주만에 받았어요 캠핑갈때 쓰려고 주문했는데 못 썼네요,0
생각보다 잘 모르겠어요,0
차에하려고 구매했는데 차 시트와 크기가 잘 맞지않아 불편해서 책상의자에 설치했습니다,1
사이즈가 너무 크게 나와서요,0
배송 빨랐고~ 상품 맘에 들었고~,1
진짜 소음도 안나고 좋아요,1
용량이 작아서 업그레이드 해줬네요 조립컴썼는데 업그레이드한다고 열어봤는데 듣보잡 ssd가ㅜ 삼성꺼라 믿음이 가네요,1
맛있어요 ㅋㅋ 싸게사서 좋아요!!!,1
"5,6번줄이 왜이리 헐렁한지 불량품같네요",0
배송에 2주걸렸네요,1
재질이 별로 입니다.. 가격대비 불만족입니다..,0
가성비짱짱 또 시킬래요,1
생각보다 별로 입니다 너무 허접 해용,0
줄이 얇아서 금방 떨어질수도 있겠다고 생각하고 착용했는데 왠걸 아주 멀쩡하네요 ㅎㅎ 반짝임은 좀 덜해진거 같긴한데 뭐 이정도 가격에 만족합니다~^^,1
색이조금어두운거같아요,0
에센스인데도 바르고나면 더 건조함과 당김이 느껴져서 별로 추천하고 싶지않네요.,0
뚜껑이 제대로 닫힌게 인식돼야 작동되기때문에 뚜껑 인식이 안되면 그냥 못쓰는거에요 존나 주먹으로 내려 쳐서 뚜껑 닫아도 안닫혔다고 안갈리는데ㅋ..,0
배송이 느려요. 느려서 다른제품 구매했네요.,0
한번 사용해봤는데 약해요,0
리모컨에 밝기조절까지. 설치도 쉬워요~,1
음...비추..비추 이거 사이즈 뭐지? 크다 만..,0
싸서 항상 여러개 사놓고 쓰는데 너무 좋습니다. 기존에 썼던것보다도 더 좋은것 같구 차운전시 쾌적함을 느낍니다,1
포장상태 너무 화납니다. 완전 밀봉도 아니고 그냥 비닐로 한번 감겨있는데 그마저도 노출되있네요 포장보고 마음같아선 환불이나 반품하고 싶은데 뭐 떡 1키로 그냥 써야죠 사실분들 참고하세요,0
항상아주만족합니당♥,1
컬쳐랜드 모바일 문화상품권 1만원권 평소보다 배송속도가 많이 느립니다,0
싸게5개잘주고삿어요 배송비없을때살려다가못사구ㅜㅜ,1
Q사이즈를 주면 했는데 한쪽에 박음질 했어요,0
몇번쓰고 방치햇어요 효과를 전혀 모르겟어요 ㅜㅜ,0
3일짜리 유심이 마지막날 먹통... 주말이라 상담원 부재.. 대략난감 결국 비싼 로밍 했지요 ㅠㅠ,0
복용하면 즉시 화장실로 고~ㅠㅠ 완죤 물설사 짐 끊엇구 안먹어요~~ㅠㅠ 넘커서 목에 자꾸 걸려염~~ㅠㅠ,1
포장이 조금 성의없이 느껴지지만 파손없이 잘왔네요 장을 안봐서 아직 만들어보진 못했지만 도전해보려구요 잘산 것 같아용,1
좋네요 좋네요 좋네요 일회용입니다 완전 ㅠㅠ,0
기존에 사용하는것 보다 약해보여요. 나무가 너무 약해보여요,0
해먹지를 못해ㅛ네요,1
배송 3주는 걸린것같아요 요가복은 예뻐요,0
조여주는게아니고 그냥별로,0
4종 셋트 신생아 아기 손톱깍기 구매했어요~ 친구가 이 제품 쓴다길래 ㅎㅎ 아직 사용 해보진 않았지만 괜찮아 보여요,1
비추입니다 제품도 듣보잡보다 낫다 싶은 부분 없구요 무엇보다도 고객센터 응대가 아주 실망스럽네요 상품후기 봤지만 이 정도일줄은... 덕분에 다시는 동서가구 제품은 구매 안하려고 합니다 리뷰 쓰는 시간도 아깝지만... 0점은 선택이 안 되어 1점입니다,0
거품이 안나도너무안나서 재구입생각은없어요,0
개인적일 수 있지만 정사이즈보다 조금 작은것 같습니다. 면은 좋습니다.,0
장착하려다 너무 어려워 포기,0
이상해요 붙였을때 매끄럽지 않네요,0
재구매 재생력 좋아요. 피부에 잘맞고 최고용,1
찌그러져서 도착했습니다 빨리 설치를 해야할상황이라 어쩔수없이 달긴했는데요 이건아닌것같네요,0
즉당하게 잘뮥곳투ㅜ슈류 ㅎㅎ,1
편하다고 해서 샀는데 너무 불편해서 한 십분 하다가 옷장행이에요,0
모유 저장팩으로 샀는데 아주 좋아요~ 양도 적당하고 이지컷으로 샀는데 용량이 아주 맘에 듭니다 많지도 적지도 않아요~,1
가성비 굿 싸고좋아요,1
아주 좋아요^^+< 추천,1
재구매 밥도둑이에여. 입맛 없는 저에게 식욕선물을 주셨어요. 감사합니다 엄지척 !!!,1
두께감도있어서땀많이나는남편이좋다네용ㅋㅋ,1
불량이었는데 먗일 불량신청 늦었다고 배송비 내고 구매하라고 해서 그냥 안쓰고 잇어오.,0
들고다니려니 너무커여...,1
랍비 모자 같아요.ㅠ.ㅠ,0
처음보다질이떨어지네요 속상+분노,0
구성이 너무 좋네요^^ 감사합니다!!,1
"이뻤는데 생각했던 슬립온이 아니었어요.... 괜히 슬입온으로 해가지고,,,, 발사이즈는 맞는데 신을때 신축성1도 없어서 안늘어나니 발등이 힘드네요.... 반품도 안해주겠지...",0
한달동안 입고 난 후기는 우선 세탁할때마다 옷이 줄어듭니다 첨엔 넉넉했는데 점점 스키니 옷이 되네요 참고하세요,0
배송은 빠르고 병도 이쁜데... 배송도 빠르고 병도 이쁜데 향은 정말 망 ㅠㅠ 남자스킨향 같아요 진짜 생각지도 못했던 향이라....ㅠㅠㅠ,0
테스트를 한번도 하지 못해서 잘모르겠다,0
항상 구매해서 먹습니다~,1
조립이 간편하고 예뻐요,1
좋아요 사은품으로 온것도 이쁘네요,1
이거 보푸라기 너무 심해요.. 진짜 생에 보푸라기 일어나는 이불 본적도없는데 평점이 잘못된건지 보푸라기 땜에 이불 촉감 정말 안좋아졌어요,0
흰강낭콩은 오래 됐는지...콩껍데기는 쭈굴쭈굴쭈굴하게 운게 엄청 많구 밥하면 딱딱하구 그러네여,0
동물의 숲 최고에요!!!!!,1
재구매 항상 주문. 6살아이 혼자서도 잘 꺼내먹어요.,1
김치는 이곳에서 시켜 먹어요 빨리오고 제일 제입맛에 맞아요,1
눈에 잘 안맞아 잘사용안함,0
사이즈가 넉넉하고 편해서 좋아요.,1
너무 예쁘고 크기도 넉넉해용! 배송도 빠르게오고~ 제품도 문제없이 잘왔어용!! 크기도 딱좋고 너무 예뻐요 ㅎㅎ 폼피츠 6-7키로되는데 넉넉하니 사이즈도 짱좋아용!,1
"구매기록 보니까 47일 사용했네요. 47일만에 저렇게 아작났습니다... 업체에 연락해보니 1달 넘어가면 무상 A/S가 안된다고 하네요... 가성비 좋다고 생각하고 구입했었는데, 앞으론 돈 더 주고 튼튼한걸로 구입해야겠습니다.",0
포장이 너무 깔끔하고 맛도 너무 좋아요!,1
제가 제일 !!! 기다리던 색인데 ㅜ 스톤이 깨져서 왔어요 진짜 너무해요 따로 교환 신청 해야하나요???1개만 할순 없잖아요 ㅠ 그래도 색은 영롱하고 이뻐요,0
10개구입해먹어보고 60개구입햇는데 저번보다 묽어진 느낌? 소용량구입해서 비교해보고싶네요,0
구매하실때 참고하세요. 브라운은 기존 스니커즈보다 약간 작은 싸이즈. 같은 265로 구입했는데 디자인에 따라 크기가 다릅니다.,0
배송부터가 너무 오래걸리고 불편하네요,0
"재구매 이거 비싸서 다신 안사려고 했는데, 쓰다 중독됐어요ㅜㅜ 글구 이거 너무 빡빡문지르면 얼굴 빨갛게 올라오구 난리나니 좋다고 너무 문지르지마세요ㅎㅎ",1
"시댁에 반찬 담아다 드리려 주문했는데 대만족!! 투명도 좋고 꽤 탄탄해요 흐느적대는 일회용기수준이 아니네요 750,520 두사이즈 모두 여러용도로 잘 쓰이겠어요^^ 뚜껑도 밀폐 잘되고 돔형이어서 내용물 넉넉히 담기며 용기끼리 쌓기 좋은 형태입니다",1
사이즈가 작고 소재가 별로,0
사계절용이라 그런지 색상이 좀 별로네요..배송오래기다려받을만한 제품은 아닌듯 딱 가격만큼 집에서 입어야겠네요,0
뚜껑닫고 물넣어 뒤집어 놓으면 물 줄줄 흘러내립니다 밀폐용기 아닙니다,0
너무작아서 쓰지도 못하네요. A형사이즈가 제일 좋은거같습니다.,0
냄새가 거의 나지 않고 남자아이라 너무 쫙펴면 어색할것 같아 시간을 조금 줄여서 하고 매직기로도 살짝 폈는데 만족합니다.,1
헐..얼음물과 아이스팩을 5개나 넣었는데 안시원ㅠㅠ그냥 플라스틱 통이네요...사용해서 반품도 못하고ㅠㅠ,0
두번 착용 후 또 잃어버렸어요 이번엔 떨어지는 느낌도 안났어요 ㅠㅠ,0
싼게비지떡이랍니다~~,0
만원대에서 샀는데 갑자기 비싸짐,0
"선물하려고 구매했는데 받으신분이 단맛도 별로고, 덜 익은거 같다고 하시네요 ..믿고 구매했는데..선물보낸 제가 민망하네여;;",0
불기가 너무힘드네요 좀 빡빡한 느낌요,0
개별로 스위치가 있는줄알았는데 없지만 그래도좋네요,1
자크가 별로에요.반품하기가 번거러워서 그냥 입어요.,0
재구매 제입맛에는식감이 별로네요ㅜㅜ 3팹이나삿는데 어떻게처리할지ㅜㅜ,0
허술하게 감아놓아서 부피만 크지 너무 빨리 사라집니다. 이럴바엔 이마트 행사상품이 가성비가 더 좋을 것 같네요,0
재구매 아이들이 잘먹어 금새 다 먹었어용 다른 사이즈도 구입해볼까해요,1
작은아이들이쓰기좋아요,1
깔끔하게 정리되고 좋아용^^,1
탄성이 조금 적은데 그래도 가성비 괜찮아요 운동 열심히 할께요,1
배송너무 느립니다. 상품은 보는것과 같은데... 구매한지 꽤 됐는데... 배송이 거의 한달만에 왔었어요... 배송업체를 바꾸셔야 할듯하네요... 많이 파세요,0
두피스케일링 2+1인줄 알고 구입했지만 1병만 와서 실망을 했구요. 사용 후 효과는 잘 모르겠습니다,0
댓글에서 냄새가 많이 난다고 해서 조금 나겠지 했는데 이건 뭐 말을 못 할 정도로 많이 나네요 이번 여름에 못 쓸것 같네요 추천하고 싶은 물건은 아니네요 냄새가 너무 많이 나서 못 쓸것 같네요,0
어머니가 드시는데 냄세가 느껴지고 식욕이 떨어진다고하네요,0
재구매 맛있어요 비싸서 아껴 먹음,1
배송이 되게 늦었어요.. 구성품도 다 똑같고; 진짜 아오..,0
생각한것보다 부드럽진 않지만 천연소재라서 믿고 사용합니다,1
제 피부엔 너무 자극적이었어요.. 안그래도 민감성 피부인데 더 민감해졌어요..,0
끼는게 너무 불편하네요 그부분 빼곤 괜찮아요ㅐ,0
"사이즈, 색상 모두 올바르게 도착했네요. 좋습니다.",1
목이아파서 목침 찾다가 샀는데 잘산거같아요! 머리가 목보다 낮아지니까 원하던 자세로 잘수있습니다,1
나름 상품평 확인하고 구매하는데 ㅡㅡ 대박 ~ 뭔가요? 맛이 다르다고해도 이건 평균아닌데 ~,0
내가 만들어 써도 이것보단낫겠다,0
책상은 나사가 2개 없는 6개만 왔고.. 서랍은 2개정도가 찌그려져서 왔습니다. 특히 가장 밑 서랍은 들어갈정도로 찌그려저서 수리나 교환 부탁드립니다 ㅠㅠ,0
벽에 고정안되고 자꾸 떨어지구요~ㅠ 모르고 문닫으면 힘없이 떨어져요~,0
꼬리쪽이라 별로에요 택배기사도 마음대로 경비실로 맞기고 가고,0
거울 느낌보다는 그냥 아크릴?? 그런 느낌이네요 별로에요~,0
재구매 일단 공복감리 그덜하고요 질리지않는 오고맛이 좋네여,1
일단 맛있어요 접때구매해서 먹어보니 시켜먹을 필요가 없드라구요 많이파세요,1
모기 모기퇴치제 구입 마트보다 훨씬싸게 구입했습니다. 냄새도 안나고 흐르지않아서 편하게 사용중이예요,1
잘받앗습니다 배송도빠른편이엿어요,0
매우작아요,0
고정도 잘 안되고 실용적이지 않네요. 저한테는 안맞아요,0
상품자체는 좋습니다. 다만 브론즈 컬러를 주문했는데 블랙으로 보내주셨네요... 다시 보내고 받고 귀찮아서 그냥 쓸게요ㅠ,0
저렴하니 가성비 좋 습니다,1
저렴하고 빠르게 잘 받았어요 상품좋네요,1
아/////별로에요....차라리 계기판쪽으로 거꾸로 달수있었으면 더 혁신이였을듯....,0
먹기에 부담스럽지얺고 아주 좋네요 열심히 운동하고 먹어보겠습니다,1
반은부러져서 왓어요 첨엔 비급 모아서 보낸줄 알았네요... 열어보고 기분좋진않음,0
배송도 너무너무 빠르고 가격도 너무너무 착합니다.,1
유명하다고해서 구매햇어요,1
핸드크림처럼 향도 좋고 촉촉하네요^^,1
만족합니다 . 바를때 촉촉해서 좋아요,1
라이트 그린을 주문했는데 그냥 그린이 왔네요.... 하나만 다른거 와서 그냥 쓸께요..다음에 확인해주시고 보내주세요.,0
보이는거보다별로임,0
절반은 잘린 것이 왔어요. 갈아 먹을거라 좀 저렴한 걸 선택했는데 작은 게 올거라고 생각했지 이렇게 절단돼 마른게 올 줄이야. 여기서 주문한 걸 후회합니다.,0
"재구매 어쩜 이런걸 보내주시나요? 게다리는 다 떨어지고 신선하지도않고ㅜ 내장상태도 완전최악이에요 몇번주문해서 먹었는데 요번꺼는 완전실망이네요 어머니꺼서 손질하시다 화내시네요 다신 주문못하겠네요, 돈 너무아까워요",0
어렵네요ㅋㅋ 해놓고나니깐 뿌듯하고 예쁜데 하는동안에는 몇번 뛰쳐나갈뻔했네요ㅋㅋㅋㅋ 안에 물감 붓 다 들어가잇어서 좋네요ㅋㅋ다반 붓이 질이 안좋아서 붓은 얇은거 하나 사서 했어요ㅋㅋㅋ 굿굿ㅋㅋㅋ,1
재구매 잘막고잇어여졸아요ㅋㅋㅋ케,1
허니브레드가 아니라 허니브레드를 만들수있는 식빵일뿐,0
몇번 세탁하고 사용하니 보풀이 조금 일어나요 그래도 금액도 적당하고 생각보다 커서 사용하기 편해요,1
집근처 건강원에서 먹었던 붕어즙은 한약맛이 강했는데 이건 붕어가 확실히 많이 들어갔는지 붕어향이 올라오긴하는데 그만큼 효과가 더 좋은거같아요 다음에도 믿고 시킬만할거같네용!,1
싸게 잘샀어요. 배송도 엄청 빠릅니다.,1
이뻐요~~~광파오븐 발효기 놓을려고 샀어요~,1
동일 상품인데 색상마다 좀 달라요,1
평소에 안닦이던 이도 잘닦여오~좋아요,1
이런 상황에 배송도 빠르고 제품도 가성비 나오,1
쉰내가 나요 열자이상,0
배송도 빠르고 핫팩 넘 따듯해요~ 진짜 오래 가네요 다 쓰면 또 주문하려구요~,1
재구매 3개월 정도쓰면 바꿔야하나봐요~ 몇번을 구매하는지 모르겠네요 반디제품보다 삼성제품이 그나마 1달 더 가네요~~=,0
2m 좋았어요.. 떨어뜨리기 전에는 말이에요....... 1m 정도 높이에서 떨어졌는데 그대로 망가져버렸어요ㅠ,0
흔들흔들 거리네 싸니까 뭐 ㅎ,0
퀄리티가 마음에들어요,1
가격이 싼 타사제품과 별차이가 없음 똑같은 매쉬시트임 가격대비 비추,0
좋 네 요 선물을 해서 찰랑찰랑한지는 잘모르겠는데 구매평 믿고 구매합니다 선물받은 친구가 좋아라 했으면 좋겠네요,1
가족들 모두 만족해합니다.,1
재구매 정말 편하고 티안나요,1
점점 건강해지는 기분이예요,1
배송해주시는분 불친절한것 빼곤 좋아요 거울이̆̈ 정말 무겁긴하더군요,1
용량이 크고 가습이 잘되네요 청소도 쉬운 것 같고. 적은 소음은 있지만 어차피 가습기는 호흡기와 가까이 두는 게 아니라기에 멀리뒀어요. 물 떨어지는 소리도 가끔 들리는데 빗소리 같아서 신경쓰이지 않아요.,1
배송이 완전 빠르진않았고 제가 주문한 상품이 아닌 다른 상품이 몇개 껴서 옴 싸고 맛있어서 만족,1
너무너무 좋아하고 예뻐서 아이가 매일 입어요~ 다 좋은데 등에 지퍼 있음 더 편할거 같고 몸판 물빠짐이 있어서 흰옷은 조심해야겠어요,1
투매트리스인데 하나가 찟어졌어요,0
바지뒷태가 안이뻐요,0
아직 써보진 못했지만 기대됩니다~,1
S를 시켰는데 M이 왔네요,0
또 재구매할듯 좋아여ㅎ,1
한번빨았는데 두번째 입을때부터 너무 늘어나네요~ ㅠㅜ 가슴이 있는편인대 편하다못해 너무 헐렁대서 불편한 느낌이요 ㅠㅠ 절대 저렴이 못사겠어요 저는 ㅠㅜ,0
비닐 포장없이 스트리폼에 냉동된 새우가 왔네요. 솔찍히 비위생적이네요. 새우는 문제 없었지만 포장에 신경쓰시길 바랍니다.,0
아직 착용안해봤지만 편하고 좋을것같아요,1
디자인도 편리성도 다 좋아요... 그러나 냄새가.ㅜㅜ 아이몸에 나쁠듯. 너무나서 그냥 사용못할것같아요.,0
잘알받았습니다 만ㅇㅎ이 파세요~,0
생각보다 사용하기 편리해요~,1
그냥그냥 활용을 해봐야 될듯요,1
스크래치제로 기대 이하네요. 스크래치제로 받고 차 스크래치제거 하기위해 설명서 대로 했지만 흠짓은 그대로 남아 있네요. 스크래치 크게 난 상태도 아니고 조금 긁힌 상태여서 가능할듯 해서 구입 했는데 별 효과 없어서 실망 입니다.,0
배송도 빠르고 제품의 질도 좋네요..사이즈도 딱이고 굿입니다.,1
아주좋아여~,0
동생이 저녁마다 방송으로 쓰고 있는데 음질이 안좋다네요;;머가 안좋은지는 말안해줘서 모르겠지만 당사자가 별로라니 머..그냥 잘쓰라고 하고있어요:),0
롱원피스에 입으려고 7부 샀고 일반 스커트 입을때는 5부 입으려고 2가지 길이로 구매했어요. 둘다 신축성 있어서 편하고 따뜻해요. 고민말고 사세요.,1
제품을뜯고써봐서.반품이안될거같아 사용하긴하는데요 듬뿍바르고문지르는데도뻑뻑하고어떠한작용을하는지모르겠네요.상품평이좋아서주문은했는데막상사용해보니~회사측은좋은제품에자신있다면일주일 써보고결정구매할수있도록하시면좋겠네요,0
재구매 조아서 더구매 했네요,1
너무 적어요 크기가 좀 컷으면 좋겟어요,0
하필오징어상자에넣어보내주셔서상품에서오징어냄새가진동을합니다,0
빠른배송 튼튼한 제품 가격대비 고퀄리티 정말좋습니다,1
구성품이 기존꺼랑 같아지면 그때 다시 주문할게요~,0
앞 부분이 잘 안맞아서 신경써서 닫아야하는게 좀 아쉽습니다,0
작아서 오히려 붙이기 조심스럽네요,1
고급스러워보이고착용감조아용,1
다른곳보다 저렴해서 많이 쟁여놨어요. 근데 한번 쓰고나면 재사용은 어려워요ㅠ,1
이제부터시식해볼계요,0
진짜 쩐내가 심해요 열받아서 쓰다가 버렸어요,0
배송두빠르구조아여,1
리뷰보고 사이즈 하나 크게 주문했는데 편하게 맞아요~ 여름이라 답답하지 않게 잘 신을 것 같아요^^,1
택배 뜯자마자 다 젖어잇고 펌핑하면 옆으로 다 새요,0
설명서 잘되있어서 교체 쉬웠습니다,1
"배송도 정말 빠르고 젠더도 안전하게 도착했어요. 디자인이 깔끔하고 좋네요. 그리고 이전부터 사용하던 제품이라.., 전반적으로 만족, 굿굿굿~~",1
달달하니 맛있어요~가격만 조금 착하면 좋겠네요ㅎㅎ,1
강추.사용해보니좋아요,1
재구매했습니다 지난번에 구매했는데 마음에 들어 지인분에게도 설치해주려 재구매했습니다 마음에 듭니다 수고하세요,1
저령하게샀어요 편하고좋습니다,1
